,영화명,감독,배급사,개봉일,국적,전국관객수,장르,등급,유료시사회,개봉달,스크린수,상영횟수,관객수,매출액,누적관객수,주연,감독관객,평점,평점수,SSS,SS,S,A,B,C,D,F,기록없음
786,마담 프루스트의 비밀정원,실뱅 쇼메,찬란,2014-07-24,프랑스,141480,드라마,전체관람가,0,7,3,11,"1,089","8,771,500","1,089",귀욤고익스,54381,9.52,44,0,0,0,0,0,0,0,1,0
787,극장판 아이엠스타 : 꿈의 오디션!,키무라 류이치,씨제이이앤엠(주),2016-02-11,일본,141025,애니메이션,전체관람가,0,2,2,4,774,"6,192,000",774,"정혜원,이용신,소연,이선",141351,9.49,204,0,0,0,0,0,0,1,3,0
788,블루 재스민,우디 앨런,(주)인벤트스톤,2013-09-25,미국,140350,드라마,15세이상관람가,0,9,6,17,"2,729","21,993,000","2,729",케이트블란쳇,55930,9.02,62,0,0,0,0,1,0,0,0,0
789,플로렌스,스티븐 프리어스,(주)이수C&E,2016-08-24,영국,139717,드라마,15세이상관람가,0,8,3,10,"2,245","18,191,000","2,245",메릴스트립,52169,9.19,184,0,0,0,0,0,0,1,0,0
790,더 퍼지,제임스 드모나코,유니버설픽쳐스인터내셔널 코리아(유),2013-11-06,미국,137126,스릴러,청소년관람불가,0,11,1,1,214,"1,712,000",214,에단호크,98610,5.63,1457,0,0,0,0,0,0,1,0,0
791,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,닛타 노리오,씨제이이앤엠(주),2017-09-07,일본,137052,애니메이션,전체관람가,0,9,1,2,665,"5,865,000",665,"이지현,여윤미,여민정,방연지,양정화,조현정,안영미",137052,9.82,56,0,0,0,0,0,0,1,6,0
792,워터 디바이너,러셀 크로우,롯데쇼핑㈜롯데엔터테인먼트,2015-01-28,미국,136134,드라마,15세이상관람가,0,1,28,47,"5,601","40,513,000","5,601","러셀크로우,올가쿠릴렌코",136275,9.22,108,0,0,0,0,0,1,0,1,0
793,링컨,스티븐 스필버그,이십세기폭스코리아(주),2013-03-14,미국,135900,드라마,12세이상관람가,0,3,7,20,"4,004","30,121,000","4,004","다니엘데이루이스,조셉고든레빗,토미리존스",839357,8.62,710,0,0,0,0,0,1,0,2,0
794,제 5침공,J 블레이크슨,유니버설픽쳐스인터내셔널 코리아(유),2016-02-25,미국,135874,액션,12세이상관람가,0,2,1,1,149,"1,043,000",149,"클로이모레츠,닉로빈슨",135874,7.49,191,0,0,0,0,0,0,0,2,0
795,로빈슨 크루소,"벤 스타센,빈센트 케스텔루트",(주)영화사 빅,2016-09-07,벨기에,135094,애니메이션,전체관람가,0,9,6,21,"4,837","36,631,000","4,837","마티아스슈바이그호퍼,데이비드하워드,콜린메츠거,라일라베르진,조이카멘,마리브헤링턴",454693,9.35,389,0,0,0,0,0,1,0,5,0
796,대니쉬 걸,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2016-02-17,미국,134029,드라마,청소년관람불가,0,2,17,19,"2,120","18,271,500","2,120","에디레드메인,알리시아비칸데르,엠버허드",2287988,9.48,110,0,0,0,0,0,1,1,1,0
797,카운슬러,리들리 스콧,이십세기폭스코리아(주),2013-11-14,미국,133272,범죄,청소년관람불가,0,11,1,3,461,"3,825,500",461,"브래드피트,마이클패스벤더,페넬로페크루즈,카메론디아즈",2086462,9.04,2006,0,0,0,0,0,0,1,3,0
798,리딕,데이빗 토히,(주)영화사 빅,2013-11-28,미국,132059,SF,15세이상관람가,0,11,15,18,"3,076","20,920,000","3,076","빈디젤,칼어번",243912,8.96,1018,0,1,0,0,1,0,0,0,0
799,심야식당,마츠오카 조지,(주)영화사 진진,2015-06-18,일본,131748,드라마,12세이상관람가,0,6,2,7,"1,141","9,059,444","1,141","코바야시카오루,오다기리조",78327,8.89,45,0,0,0,0,0,0,0,2,0
800,명탐정 코난: 에피소드 원-작아진 명탐정,야마모토 야스이치로,씨제이이앤엠(주),2017-02-08,일본,128472,애니메이션,12세이상관람가,0,2,6,6,900,"6,204,000",900,0,303674,8.41,370,0,0,0,0,0,0,1,0,0
801,버틀러: 대통령의 집사,리 다니엘스,(주)넥스트엔터테인먼트월드(NEW),2013-11-28,미국,126870,드라마,15세이상관람가,0,11,1,1,282,"2,256,000",282,"포레스트휘테커,오프라윈프리,데이빗오예로워,로빈윌리엄스,머라이어캐리",43720,9.74,677,0,0,0,0,0,1,1,3,0
802,카페 소사이어티,우디 앨런,CGV아트하우스,2016-09-14,미국,126439,멜로/로맨스,15세이상관람가,0,9,47,120,"4,440","39,315,200","4,440","제시아이젠버그,크리스틴스튜어트,스티브카렐",55930,8.68,31,0,0,0,0,1,1,0,1,0
803,마이 리틀 자이언트,스티븐 스필버그,월트디즈니컴퍼니코리아(주),2016-08-10,미국,125800,어드벤처,전체관람가,0,8,1,4,474,"4,493,000",474,"마크라이런스,레베카홀,빌헤이더,제메인클레멘트",839357,8.97,385,0,0,0,0,2,0,0,2,0
804,꾸뻬씨의 행복여행,피터 첼섬,그린나래미디어(주),2014-11-27,영국,125179,어드벤처,15세이상관람가,0,11,19,46,"4,836","37,269,000","4,836","사이먼페그,로자먼드파이크,장르노,스텔란스카스가드",78990,9.51,144,0,0,0,1,0,0,1,2,0
805,마이펫 오지,알베르토 로드리게즈,롯데쇼핑㈜롯데엔터테인먼트,2017-02-16,스페인,124112,애니메이션,전체관람가,0,2,7,14,"1,838","13,604,000","1,838",0,42474,9.76,109,0,0,0,0,0,0,1,0,0
806,러시 : 더 라이벌,론 하워드,롯데쇼핑㈜롯데엔터테인먼트,2013-10-09,미국,123582,액션,청소년관람불가,0,10,12,56,"11,710","79,722,000","11,710",크리스헴스워스,307072,9.44,1310,0,1,0,0,0,0,0,0,0
807,그렇게 아버지가 된다,고레에다 히로카즈,(주)티캐스트콘텐츠허브,2013-12-19,일본,122797,드라마,전체관람가,0,12,11,19,"2,703","19,183,500","2,703","후쿠야마마사하루,오노마치코,릴리프랭키",88096,8.93,43,0,0,0,0,0,0,0,3,0
808,실버라이닝 플레이북,데이빗 O. 러셀,(주)나이너스엔터테인먼트,2013-02-14,미국,122698,멜로/로맨스,청소년관람불가,0,2,11,31,"6,862","50,062,000","6,862","제니퍼로렌스,브래들리쿠퍼,로버트드니로",112458,9.38,669,0,0,1,0,0,0,0,2,0
809,러브 라이브! 더 스쿨 아이돌 무비,쿄고쿠 타카히코,(주)박수엔터테인먼트,2015-09-03,일본,122574,애니메이션,전체관람가,0,9,8,35,"7,649","76,490,000","7,649","토쿠이소라,파일,쿠보유리카,이이다리호,쿠스다아이나,난죠요시노,미모리스즈코,우치다아야,닛타에미",133362,8.73,394,0,0,0,0,0,0,0,9,0
810,극장판 도라에몽: 진구의 비밀도구 박물관,테라모토 유키요,롯데쇼핑㈜롯데엔터테인먼트,2013-07-25,일본,122172,애니메이션,전체관람가,0,7,7,10,"1,932","13,524,000","1,932","미즈타와사비,오오하라메구미",192149,8.76,227,0,0,0,0,0,0,0,2,0
811,라스트 위치 헌터,브렉 에이즈너,TCO(주)더콘텐츠온,2015-12-30,미국,122039,액션,15세이상관람가,0,12,3,7,960,"7,192,000",960,"빈디젤,일라이저우드,로즈레슬리",225749,9.42,235,0,1,0,0,0,0,0,2,0
812,헤이트풀8,쿠엔틴 타란티노,(주)누리픽쳐스,2016-01-07,미국,120352,액션,청소년관람불가,0,1,2,4,926,"7,880,000",926,"사무엘L.잭슨,커트러셀,제니퍼제이슨리,월튼고긴스,데미안비쉬어,팀로스,마이클매드슨,브루스던",237877,8.83,227,0,1,0,0,1,1,0,5,0
813,킹 오브 프리즘 - 프라이드 더 히어로,히시다 마사카즈,(주)박수엔터테인먼트,2017-06-10,일본,119398,애니메이션,15세이상관람가,0,6,2,2,497,"5,092,500",497,"남도형,엄상현,이원찬,정주원",93306,9.83,347,0,0,0,0,0,0,0,4,0
814,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,타카하시 와타루,(주)넥스트엔터테인먼트월드(NEW),2017-01-25,일본,119197,애니메이션,전체관람가,0,1,6,9,"2,708","21,664,000","2,708","야지마아키코,나라하시미키,후지와라케이지",109930,9.45,690,0,0,0,0,0,1,0,2,0
815,파리로 가는 길,엘레노어 코폴라,(주)티캐스트,2017-08-03,미국,118985,드라마,12세이상관람가,0,8,4,8,769,"6,173,000",769,"다이안레인,알렉볼드윈",119471,9.13,178,0,0,0,1,0,0,1,0,0
816,감바의 대모험,"카와무라 토모히로,코모리 요시히로",(주)영화사 빅,2016-11-10,일본,117465,애니메이션,전체관람가,0,11,8,33,"3,633","27,133,000","3,633",0,117591,9.17,35,0,0,0,0,0,0,1,0,0
817,극장판 소드 아트 온라인 -오디널 스케일-,이토 토모히코,(주)박수엔터테인먼트,2017-02-23,일본,117401,애니메이션,12세이상관람가,0,2,,,,,,"마츠오카요시츠구,토마츠하루카",120921,9.06,171,0,0,0,0,0,0,0,2,0
818,존 윅,"데이빗 레이치,채드 스타헬스키",(주)나이너스엔터테인먼트,2015-01-21,미국,116119,액션,청소년관람불가,0,1,7,13,"3,101","24,752,000","3,101","키아누리브스,애드리앤팰리키",1313326,7.76,783,0,0,0,0,0,0,1,1,0
819,터키,지미 헤이워드,롯데쇼핑㈜롯데엔터테인먼트,2014-07-31,미국,113795,애니메이션,전체관람가,0,7,5,9,"1,616","12,928,000","1,616",우디해럴슨,374687,8.98,82,0,0,0,0,0,0,1,0,0
820,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,오오스기 요시히로,(주)와우픽쳐스,2015-09-17,일본,113404,애니메이션,전체관람가,0,9,7,15,"2,257","17,598,000","2,257",미즈타와사비,113404,9.67,361,0,0,0,0,0,0,0,1,0
821,미라클 벨리에,에릭 라티고,(주)영화사 진진,2015-08-27,프랑스,112121,드라마,12세이상관람가,0,8,12,68,"14,273","106,419,000","14,273","로앤에머라,카렝비야,프랑소아다미앙",52293,9.42,127,0,0,0,0,0,0,0,3,0
822,다이노소어 어드벤처 : 백악기 공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨",(주)박수엔터테인먼트,2016-05-04,영국,112076,다큐멘터리,전체관람가,0,5,2,3,488,"4,868,000",488,0,244394,7.96,27,0,0,0,0,0,0,1,0,0
823,셀프/리스,타셈 싱,(주)이수C&E,2015-09-10,미국,111127,SF,15세이상관람가,0,9,1,3,520,"4,442,000",520,"라이언레놀즈,벤킹슬리",678412,8.29,69,0,0,0,0,1,0,1,0,0
824,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",그린나래미디어(주),2015-04-29,미국,111008,드라마,12세이상관람가,0,4,32,78,"3,518","24,850,300","3,518","줄리안무어,알렉볼드윈,크리스틴스튜어트",56550,8.78,58,0,0,0,1,0,1,0,1,0
825,직쏘,"피터 스피어이그,마이클 스피어리그",㈜코리아스크린,2017-11-02,미국,110834,공포(호러),청소년관람불가,0,11,4,4,672,"5,376,000",672,"토빈벨,칼럼키스레니,클레베넷,맷패스모어",97286,8.66,896,0,0,0,0,0,0,0,4,0
826,피터와 드래곤,데이빗 로워리,월트디즈니컴퍼니코리아(주),2016-09-28,미국,109137,어드벤처,전체관람가,0,9,6,14,846,"7,911,500",846,"브라이스달라스하워드,오크스페글리,웨스벤틀리,칼어번,로버트레드포드,크레이그홀",58776,8.67,27,0,0,0,0,2,0,0,4,0
827,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,씨제이이앤엠(주),2017-06-01,일본,108896,애니메이션,전체관람가,0,6,3,3,462,"4,158,000",462,"김현지,한신,김보영,이호산,김영은",109358,9.1,82,0,0,0,0,0,0,1,4,0
828,맨 프롬 UNCLE,가이 리치,워너브러더스 코리아(주),2015-10-28,미국,108551,액션,12세이상관람가,0,10,3,4,"1,460","17,520,000","1,460","헨리카빌,아미해머,알리시아비칸데르,엘리자베스데비키",921140,9.42,142,0,0,1,0,0,0,0,3,0
829,마지막 4중주,야론 질버만,(주)티캐스트,2013-07-25,미국,108317,드라마,15세이상관람가,0,7,1,2,134,"1,111,500",134,"필립세이모어호프만,크리스토퍼월켄,캐서린키너,마크이바니르",108981,9.32,22,0,0,0,0,1,1,2,0,0
830,더 기버: 기억전달자,필립 노이스,(주)지어소프트,2014-08-20,미국,107567,SF,12세이상관람가,0,8,3,7,"1,111","9,170,000","1,111","브렌튼스웨이츠,테일러스위프트,메릴스트립,제프브리지스,알렉산더스카스가드,케이티홈즈,카메론모나한",1488752,9.44,256,0,0,0,0,1,1,1,4,0
831,더 건맨,피에르 모렐,롯데쇼핑㈜롯데엔터테인먼트,2015-04-16,프랑스,107444,액션,청소년관람불가,0,4,9,17,"3,312","26,414,000","3,312","숀펜,하비에르바르뎀,이드리스엘바,레이윈스톤",158957,9.01,72,0,0,0,0,1,1,1,1,0
832,제로 다크 서티,캐서린 비글로우,(주)에스비에스콘텐츠허브,2013-03-07,미국,107104,전쟁,15세이상관람가,0,3,4,18,"2,531","19,986,000","2,531","제시카차스테인,제이슨클락,크리스프랫,조엘에저튼",101747,8.27,1846,0,1,0,0,0,1,0,2,0
833,프리덤,피터 쿠센스,(주)씨타마운틴픽쳐스,2015-11-19,미국,106241,드라마,12세이상관람가,0,11,7,21,"4,151","29,792,000","4,151","쿠바구딩주니어,베르나르드포처",106483,9.36,22,0,0,0,0,0,0,0,2,0
834,더 시그널,윌리엄 유뱅크,롯데쇼핑㈜롯데엔터테인먼트,2014-07-09,미국,105818,SF,12세이상관람가,0,7,8,14,"2,803","21,742,000","2,803",브렌튼스웨이츠,106081,7.61,120,0,0,0,0,0,1,0,0,0
835,바람이 분다,미야자키 하야오,롯데쇼핑㈜롯데엔터테인먼트,2013-09-05,일본,105650,애니메이션,전체관람가,0,9,3,4,"1,003","7,235,000","1,003","안노히데아키,타키모토미오리",1412925,3.46,2227,0,0,0,0,0,1,0,1,0
836,니드 포 스피드,스캇 워프,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-16,미국,105340,액션,15세이상관람가,0,4,3,4,"1,129","7,375,000","1,129","아론폴,도미닉쿠퍼",82231,8.88,150,0,0,0,0,0,0,1,1,0
837,인사이드 르윈 ,"조엘 코엔,에단 코엔",블루미지,2014-01-29,미국,104601,드라마,15세이상관람가,0,1,12,26,"3,110","25,861,500","3,110","오스카아이삭,캐리멀리건,저스틴팀버레이크",57425,9.33,64,0,0,0,0,0,1,1,1,0
838,킹 오브 프리즘,히시다 마사카즈,(주)박수엔터테인먼트,2016-08-11,일본,103852,애니메이션,12세이상관람가,0,8,1,2,181,"1,268,000",181,0,93306,8.84,49,0,0,0,0,0,0,1,0,0
839,베리 굿 걸,나오미 포너,(주)영화사 빅,2014-09-25,미국,103625,멜로/로맨스,15세이상관람가,0,9,6,7,"1,326","9,822,000","1,326","다코타패닝,엘리자베스올슨",103625,9.33,84,0,0,1,0,0,0,0,1,0
840,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,씨네그루(주)키다리이엔티,2016-05-12,미국,103554,액션,12세이상관람가,0,5,328,791,"6,329","49,115,000","6,329","쉐일린우들리,테오제임스,마일즈텔러,나오미왓츠",162574,8.79,154,0,0,0,0,0,0,0,4,0
841,박스트롤,"그레이엄 애나블,안소니 스타치",유니버설픽쳐스인터내셔널 코리아(유),2014-11-06,미국,101665,애니메이션,전체관람가,0,11,3,7,"1,017","6,946,000","1,017","엘르패닝,사이먼페그,토니콜렛,아이작햄스터드라이트",102682,9.92,26,0,0,0,1,0,0,0,3,0
842,일대종사,왕가위,CGV아트하우스,2013-08-22,중국,101461,액션,12세이상관람가,0,8,11,29,"4,120","33,365,500","4,120","양조위,장쯔이,송혜교,장첸",39308,8.07,1384,0,0,0,0,0,0,1,3,0
843,R.I.P.D. : 알.아이.피.디.,로베르트 슈벤트케,유니버설픽쳐스인터내셔널 코리아(유),2013-08-22,미국,101460,액션,15세이상관람가,0,8,2,3,890,"8,098,000",890,"라이언레놀즈,제프브리지스,케빈베이컨",162574,8.62,1818,0,0,0,0,2,0,0,1,0
844,바닷마을 다이어리,고레에다 히로카즈,(주)티캐스트,2015-12-17,일본,100225,드라마,12세이상관람가,0,12,4,14,"2,152","19,104,000","2,152","아야세하루카,나가사와마사미,카호,히로세스즈",88096,9.14,173,0,0,0,0,0,0,0,4,0
845,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,와타나베 카츠야,(주)스마일이엔티,2015-11-26,일본,100054,액션,전체관람가,0,11,4,12,"1,514","12,190,000","1,514",시손쥰,100151,9.63,178,0,0,0,0,0,0,0,1,0
846,딥워터 호라이즌,피터 버그,메가박스중앙(주)플러스엠,2017-01-25,미국,100021,액션,12세이상관람가,0,1,3,8,"1,809","13,904,000","1,809","마크월버그,딜런오브라이언,케이트허드슨,커트러셀",58779,8.31,595,0,0,0,0,0,1,1,2,0
847,라이언,가스 데이비스,(주)이수C&E,2017-02-01,호주,98660,드라마,12세이상관람가,0,2,10,44,"5,558","42,021,600","5,558","데브파텔,루니마라,니콜키드먼,데이빗웬햄",67636,9.29,300,0,0,0,0,0,1,0,3,0
848,로덴시아: 마법왕국의 전설,데이비드 비스바노,(주)영화사 빅,2013-10-02,페루,98575,애니메이션,전체관람가,0,10,,,,,,0,98798,9.39,84,0,0,0,0,0,0,1,0,0
849,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,미국,98495,애니메이션,전체관람가,0,4,3,7,833,"7,809,000",833,"엄상현,조현정",98495,9.28,200,0,0,0,0,0,0,0,2,0
850,맥베스,저스틴 커젤,판씨네마(주),2015-12-03,영국,98161,드라마,15세이상관람가,0,12,2,3,"1,219","10,308,000","1,219",마이클패스벤더,227214,9.33,72,0,0,0,0,0,0,1,0,0
851,이웃집에 신이 산다,자코 반 도마엘,(주)엣나인필름,2015-12-24,벨기에,97883,코미디,청소년관람불가,0,12,1,7,817,"6,777,000",817,"브누와뽀엘부르드,욜랭드모로",38517,8.31,32,0,0,0,0,0,0,0,2,0
852,다크타워: 희망의 탑,니콜라이 아르셀,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,미국,97017,액션,15세이상관람가,0,8,1,2,410,"3,388,000",410,이드리스엘바,58781,8.84,175,0,0,0,0,1,0,0,0,0
853,바스티유 데이,제임스 왓킨스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,미국,96305,액션,15세이상관람가,0,10,10,14,"3,002","24,016,000","3,002","이드리스엘바,리처드매든,샬롯르본,호세가르시아",106902,8.43,320,0,0,0,0,1,0,0,3,0
854,사일런스,마틴 스콜세지,씨네그루(주)키다리이엔티,2017-02-28,미국,94750,드라마,15세이상관람가,0,2,17,32,"3,030","26,326,700","3,030","앤드류가필드,리암니슨,아담드라이버",227099,8.3,148,0,0,0,0,0,0,1,2,0
855,인비저블 게스트,오리올 파울로,(주)더블앤조이픽쳐스,2017-09-21,스페인,94281,범죄,15세이상관람가,0,9,6,14,"2,615","21,270,000","2,615","마리오카사스,안나와게너",80881,9.04,492,0,0,0,0,0,0,0,2,0
856,"나, 다니엘 블레이크",켄 로치,(주)영화사 진진,2016-12-08,영국,94266,드라마,12세이상관람가,0,12,3,16,"1,777","14,133,200","1,777",데이브존스,42084,9.48,60,0,0,0,0,0,1,0,0,0
857,나의 산티아고,줄리아 폰 하인츠,(주)영화사 진진,2016-07-14,독일,94243,코미디,12세이상관람가,0,7,3,8,636,"4,457,000",636,"데비드스트리에소브,마르티나게덱",94610,9.54,26,0,0,0,0,0,0,0,2,0
858,원피스 극장판 Z,나가미네 타츠야,씨제이이앤엠(주),2013-03-21,일본,93239,애니메이션,전체관람가,0,3,5,6,"1,109","8,872,000","1,109",타나카마유미,93239,9.54,1321,0,0,0,0,0,0,0,1,0
859,태풍이 지나가고,고레에다 히로카즈,(주)티캐스트,2016-07-27,일본,93005,드라마,12세이상관람가,0,7,4,11,605,"4,960,000",605,"아베히로시,키키키린,마키요코",88096,9.25,178,0,0,0,0,0,0,0,3,0
860,본 투 비 블루,로버트 뷔드로,그린나래미디어(주),2016-06-09,캐나다,92729,드라마,청소년관람불가,0,6,18,63,"4,697","40,318,900","4,697",에단호크,94129,9.42,106,0,0,0,0,0,0,1,0,0
861,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,미국,92598,어드벤처,12세이상관람가,0,2,1,1,303,"4,848,000",303,"제프브리지스,줄리안무어",46383,7.57,68,0,0,0,0,1,1,0,0,0
862,크리미널,아리엘 브로멘,(주)영화사 빅,2016-06-22,영국,92358,액션,15세이상관람가,0,6,9,18,"3,546","28,684,000","3,546","라이언레놀즈,케빈코스트너,게리올드만,토미리존스",34447,8.92,177,0,0,0,0,1,2,1,0,0
863,포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),2015-02-26,미국,91164,코미디,15세이상관람가,0,2,2,3,778,"7,002,000",778,"윌스미스,마고로비,로드리고산토로",59784,8.69,32,0,0,0,0,0,0,3,0,0
864,마마,안드레스 무시에티,유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,미국,91143,공포(호러),15세이상관람가,0,1,,,,,,제시카차스테인,489989,0,154,0,0,0,0,0,0,0,1,0
865,노 게임 노 라이프 -제로-,이시즈카 아츠코,(주)박수엔터테인먼트,2017-10-19,일본,90718,애니메이션,12세이상관람가,0,10,,,,,,마츠오카요시츠구,91212,9.02,85,0,0,0,0,0,0,0,1,0
866,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,㈜코리아스크린,2015-09-24,스페인,89358,애니메이션,전체관람가,0,9,4,6,"1,165","9,320,000","1,165",0,89524,9.59,129,0,0,0,0,0,0,1,0,0
867,슈퍼미니,"토마스 자보,헬레네 지라드",판씨네마(주),2014-04-10,프랑스,89328,애니메이션,전체관람가,0,4,8,14,"2,945","22,632,000","2,945",0,92447,9,81,0,0,0,0,0,0,1,0,0
868,오베라는 남자,하네스 홀름,(주)싸이더스,2016-05-25,스웨덴,89103,드라마,12세이상관람가,0,5,6,45,"8,041","65,847,500","8,041","롤프라스가드,바하르파르스,필립버그",92792,9.61,206,0,0,0,0,0,0,0,3,0
869,더 콜,브래드 앤더슨,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,미국,88953,스릴러,청소년관람불가,0,6,10,28,"5,502","38,599,000","5,502",할리베리,54988,8.95,2526,0,0,0,1,0,0,0,0,0
870,몬스터 콜,후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,2017-09-14,스페인,87841,판타지,12세이상관람가,0,9,7,27,"4,652","38,023,300","4,652","시고니위버,펠리시티존스,루이스맥더겔,리암니슨",2125292,8.21,244,0,0,0,0,0,0,1,3,0
871,사우스포,안톤 후쿠아,씨네그루(주)다우기술,2015-12-03,미국,87426,드라마,15세이상관람가,0,12,12,69,"13,857","112,429,000","13,857","제이크질렌할,레이첼맥아담스,포레스트휘테커",368293,9.16,961,0,0,0,0,1,1,0,1,0
872,갤로우즈,"트래비스 클러프,크리스 로핑",워너브러더스 코리아(주),2015-09-03,미국,87301,공포(호러),15세이상관람가,0,9,3,6,"1,476","11,419,000","1,476","캐시디지포드,파이퍼브라운,리즈미슬러,라이언슈스",88777,8.93,331,0,0,0,0,0,0,0,4,0
873,허큘리스,브렛 래트너,워너브러더스 코리아(주),2014-08-06,미국,86528,액션,15세이상관람가,0,8,1,3,606,"9,696,000",606,"드웨인존슨,존허트,이안맥쉐인,조셉파인즈,이리나샤크",86583,8.77,116,0,0,0,0,0,2,0,3,0
874,숀더쉽,"마크 버튼,리처드 스타잭",(주)박수엔터테인먼트,2015-08-13,영국,85568,애니메이션,전체관람가,0,8,16,78,"6,318","48,838,000","6,318",0,91856,9.54,166,0,0,0,0,0,0,1,0,0
875,빅 아이즈,팀 버튼,판씨네마(주),2015-01-28,미국,85200,드라마,12세이상관람가,0,1,8,12,"2,443","17,183,000","2,443",에이미아담스,1128550,8.94,146,0,0,0,0,0,0,1,0,0
876,유스,파올로 소렌티노,그린나래미디어(주),2016-01-07,이탈리아,85166,드라마,15세이상관람가,0,1,2,11,"2,281","18,040,000","2,281","마이클케인,하비케이틀,레이첼와이즈,폴다노",29084,8.75,140,0,0,0,0,0,1,0,3,0
877,와일드,장 마크 발레,이십세기폭스코리아(주),2015-01-22,미국,83334,드라마,청소년관람불가,0,1,2,5,875,"7,845,500",875,"리즈위더스푼,가비호프만",73703,9.06,34,0,0,0,0,0,0,1,1,0
878,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,하시모토 마사카즈,롯데쇼핑㈜롯데엔터테인먼트,2014-04-03,일본,83289,애니메이션,전체관람가,0,4,4,4,"1,017","7,119,000","1,017","박영남,오세홍",206676,9.11,212,0,0,0,0,0,0,0,2,0
879,지랄발광 17세,켈리 프레몬,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-06-28,미국,83258,코미디,15세이상관람가,0,6,4,11,"1,916","15,623,500","1,916","헤일리스테인펠드,우디해럴슨,카이라세드윅,블레이크제너",83258,8.46,552,0,0,0,0,0,0,1,3,0
880,뷰티풀 크리처스,리차드 라그라브네스,롯데쇼핑㈜롯데엔터테인먼트,2013-04-18,미국,82995,스릴러,15세이상관람가,0,4,3,3,612,"3,465,000",612,"앨리스앤글레르트,비올라데이비스,엠마톰슨,에미로섬,제레미아이언스",132895,9.43,1836,0,0,0,0,1,0,2,2,0
881,더 이퀄라이저,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),2015-01-28,미국,82779,액션,청소년관람불가,0,1,19,83,"8,393","60,815,000","8,393","덴젤워싱턴,클로이모레츠",368293,8.21,514,0,0,0,0,0,0,1,1,0
882,씬 시티: 다크히어로의 부활,"프랭크 밀러,로버트 로드리게즈",메가박스중앙(주)플러스엠,2014-09-11,미국,82571,액션,청소년관람불가,0,9,2,4,611,"6,436,000",611,"조셉고든레빗,에바그린,제시카알바,브루스윌리스,미키루크",197124,9.24,266,0,0,0,0,0,0,1,4,0
883,파도가 지나간 자리,데릭 시엔프랜스,CGV아트하우스,2017-03-08,미국,82177,드라마,15세이상관람가,0,3,4,14,"1,489","13,429,500","1,489","마이클패스벤더,알리시아비칸데르,레이첼와이즈",40079,8.95,40,0,0,0,0,0,0,1,2,0
884,꼬마참새 리차드: 아프리카 원정대,"토비 젠켈,레자 메마리",씨네그루(주)키다리이엔티,2017-06-15,독일,81136,애니메이션,전체관람가,0,6,7,18,"3,139","25,065,000","3,139","김서영,구민선",356661,9.63,305,0,0,1,0,0,0,0,1,0
885,원 챈스,데이빗 프랭클,(주)넥스트엔터테인먼트월드(NEW),2014-03-13,영국,80977,코미디,12세이상관람가,0,3,35,46,"1,891","13,978,000","1,891","제임스코든,알렉산드라로치",45458,9.48,90,0,0,0,0,0,0,0,2,0
886,로스트 인 더스트,데이빗 맥킨지,메가박스중앙(주)플러스엠,2016-11-03,미국,79812,범죄,15세이상관람가,0,11,17,19,"1,424","12,404,000","1,424","크리스파인,벤포스터",27744,9.85,33,0,0,0,0,0,1,1,0,0
887,오 마이 그랜파,댄 마저,판씨네마(주),2016-03-17,미국,79701,코미디,청소년관람불가,0,3,25,38,"2,257","16,815,000","2,257",로버트드니로,43006,8.82,120,0,0,0,0,0,0,0,1,0
888,드래곤 스펠: 마법 꽃의 비밀,마누크 데포얀,㈜코리아스크린,2017-08-15,독일,79446,애니메이션,전체관람가,0,8,4,10,"2,008","16,048,000","2,008",0,79446,9.71,122,0,0,0,0,0,0,1,0,0
889,페이스 오브 러브,아리 포신,(주)영화사 빅,2014-04-16,미국,79179,드라마,15세이상관람가,0,4,14,48,"6,061","44,206,500","6,061","아네트베닝,에드해리스",80699,9.57,209,0,0,0,0,0,0,0,2,0
